,Subject,Data,Group,RM_Vals,Group_Coded
0,3,0.025385493181919645,Co,1,0
1,3,-0.05806512876294595,Co,2,0
2,3,-0.01256470677307189,Co,3,0
3,3,0.04713498834487536,Co,4,0
4,3,0.010477395694993594,Co,5,0
5,3,0.019750380097597522,Co,6,0
6,3,0.011700354508509167,Co,7,0
7,3,-0.036226235413870045,Co,8,0
8,3,0.05428323795226096,Co,9,0
9,3,-0.01910080694705855,Co,10,0
10,3,-0.006043857933476077,Co,11,0
11,3,0.032383308593586804,Co,12,0
12,3,0.012922807783330981,Co,13,0
13,3,1.5196924515702148e-06,Co,14,0
14,3,-1.5196924515702148e-06,Co,15,0
15,6,0.011329507801005738,Co,1,0
16,6,-0.028214622544476792,Co,2,0
17,6,-0.010247933863142681,Co,3,0
18,6,-0.007486626210787825,Co,4,0
19,6,-0.008931084251729806,Co,5,0
20,6,0.009762518755594552,Co,6,0
21,6,-0.013629603267219478,Co,7,0
22,6,-0.014279732847666432,Co,8,0
23,6,-0.017890620650827214,Co,9,0
24,6,-0.0006628923780305166,Co,10,0
25,6,0.0023313012501340134,Co,11,0
26,6,-0.013641982851772871,Co,12,0
27,6,-0.020072751792301904,Co,13,0
28,6,-0.005618655420482567,Co,14,0
29,6,0.005618655420482567,Co,15,0
30,7,0.022102973921326513,Co,1,0
31,7,-0.04840528922080217,Co,2,0
32,7,0.006692387044916969,Co,3,0
33,7,-0.004422128524247599,Co,4,0
34,7,0.004759267215993117,Co,5,0
35,7,-0.00793254439194598,Co,6,0
36,7,0.006942177936468124,Co,7,0
37,7,-0.0003150307537704341,Co,8,0
38,7,-0.01185773417875761,Co,9,0
39,7,-0.02256470417702794,Co,10,0
40,7,0.02288133558854227,Co,11,0
41,7,0.0023615403103524005,Co,12,0
42,7,-0.012620206311030143,Co,13,0
43,7,-0.016343410410471437,Co,14,0
44,7,0.016343410410471437,Co,15,0
45,8,0.06640042595071181,Co,1,0
46,8,0.022964339430623544,Co,2,0
47,8,0.014380395123644134,Co,3,0
48,8,0.08593524604753341,Co,4,0
49,8,-0.020534225813457097,Co,5,0
50,8,0.01704990206198291,Co,6,0
51,8,0.01537034808822409,Co,7,0
52,8,0.042622721936041774,Co,8,0
53,8,0.0025148390576156705,Co,9,0
54,8,0.00867965014443738,Co,10,0
55,8,-0.05183770464597624,Co,11,0
56,8,0.05549760283934359,Co,12,0
57,8,0.013843515492069075,Co,13,0
58,8,-0.013294071341292475,Co,14,0
59,8,0.013294071341292475,Co,15,0
60,9,-0.022965159371237116,Co,1,0
61,9,-0.02193017259209651,Co,2,0
62,9,-0.021447914296306145,Co,3,0
63,9,-0.013333756190628319,Co,4,0
64,9,-0.0004683343895970655,Co,5,0
65,9,-0.032290251216010646,Co,6,0
66,9,0.03576481888403735,Co,7,0
67,9,0.01645564531256731,Co,8,0
68,9,0.008570585040601647,Co,9,0
69,9,-0.008743208538390546,Co,10,0
70,9,-0.04312706699808705,Co,11,0
71,9,-0.04183074085120645,Co,12,0
72,9,0.0033818726323820384,Co,13,0
73,9,-0.002693496958565772,Co,14,0
74,9,0.002693496958565772,Co,15,0
75,10,-0.01490482881310703,Co,1,0
76,10,-0.014034717616606459,Co,2,0
77,10,-0.005649617255805813,Co,3,0
78,10,0.0047214656101710675,Co,4,0
79,10,0.009403379213672763,Co,5,0
80,10,0.0035068368319245598,Co,6,0
81,10,-0.027299055272685085,Co,7,0
82,10,-0.021019474074571894,Co,8,0
83,10,-0.03927839723495769,Co,9,0
84,10,-0.03134438248768347,Co,10,0
85,10,0.0056616711710249686,Co,11,0
86,10,-0.02352009608526773,Co,12,0
87,10,-0.014844816758713887,Co,13,0
88,10,0.0,Co,14,0
89,11,-0.004095031136049214,Co,1,0
90,11,-0.004357947513320311,Co,2,0
91,11,0.014566656061486103,Co,3,0
92,11,-0.032574770346834564,Co,4,0
93,11,0.006751363549718279,Co,5,0
94,11,0.011521627034276404,Co,6,0
95,11,-0.020982238250142515,Co,7,0
96,11,0.002352048252828832,Co,8,0
97,11,-0.0019994881250004148,Co,9,0
98,11,0.025814953105148798,Co,10,0
99,11,-0.03353774942149355,Co,11,0
100,11,-0.013066748318747606,Co,12,0
101,11,-0.003438631219050622,Co,13,0
102,11,0.006759080986676658,Co,14,0
103,11,-0.006759080986676658,Co,15,0
104,13,-0.01320958854849093,Co,1,0
105,13,-0.05151054921104484,Co,2,0
106,13,-0.03279237578398194,Co,3,0
107,13,-0.021863604807537323,Co,4,0
108,13,-0.0038273965548654178,Co,5,0
109,13,-0.019622920306485703,Co,6,0
110,13,-0.04868395411749843,Co,7,0
111,13,0.04377585901040176,Co,8,0
112,13,0.002615597364213868,Co,9,0
113,13,-0.04841008733066716,Co,10,0
114,13,-0.03724904327815797,Co,11,0
115,13,-0.027161584995883628,Co,12,0
116,13,-0.04856146871556652,Co,13,0
117,13,0.00436453708775841,Co,14,0
118,13,-0.00436453708775841,Co,15,0
119,14,0.015313924936589058,Co,1,0
120,14,0.07598005432989427,Co,2,0
121,14,0.007600041840044874,Co,3,0
122,14,0.058910518740950844,Co,4,0
123,14,-0.005478981383754543,Co,5,0
124,14,-0.01885784578101466,Co,6,0
125,14,-0.004574240463028489,Co,7,0
126,14,0.012608966482491515,Co,8,0
127,14,0.0811779540859321,Co,9,0
128,14,-0.0370337995836496,Co,10,0
129,14,-0.05092771841410313,Co,11,0
130,14,0.030710179746454992,Co,12,0
131,14,-0.017703130196059846,Co,13,0
132,14,-0.0204852835098064,Co,14,0
133,14,0.0204852835098064,Co,15,0
134,15,-0.005202743071002294,Co,1,0
135,15,0.007885531780619383,Co,2,0
136,15,-0.004345130964858162,Co,3,0
137,15,-0.0100919603096127,Co,4,0
138,15,0.00038886590465237337,Co,5,0
139,15,0.02412331843807209,Co,6,0
140,15,0.004699170714969339,Co,7,0
